Symbol,Name,Price,Price/Earnings,Dividend Yield,Earnings/Share,Market Cap,EBITDA,Price/Sales,Price/Book,good_pe,good_eps,good_mc,good_pb,good_div,good_stock,predicted_good_stock
LIN,Linde plc,446.12,33.873955,0.0125,13.17,212423606272.0,12581000192.0,6.432206,5.422699,False,True,True,False,False,0,0
LKQ,LKQ Corporation,37.39,13.797048,0.031400003,2.71,9719904256.0,1732000000.0,0.67038447,1.5665982,True,True,True,True,True,1,0
LMT,Lockheed Martin,462.95,20.769403,0.026199998,22.29,108971950080.0,10225999872.0,1.5284655,15.174709,True,True,True,False,True,0,0
L,Loews Corporation,85.45,11.363031,0.0029,7.52,18506504192.0,3233999872.0,1.0745851,1.0778118,True,True,True,True,False,0,0
LYB,LyondellBasell,75.7,11.487101,0.0704,6.59,24584103936.0,4421000192.0,0.6035279,1.7923098,True,True,True,True,False,0,1
MPC,Marathon Petroleum,145.71,11.29535,0.024300002,12.9,46829592576.0,10341000192.0,0.32823712,2.5012445,True,True,True,True,True,1,0
MKTX,MarketAxess,220.63,29.895664,0.0136,7.38,8318722048.0,412735008.0,10.245476,6.0040274,False,True,True,False,False,0,0
MMC,Marsh McLennan,216.88,26.5459,0.0149,8.17,106514538496.0,7246000128.0,4.4482994,7.7801695,False,True,True,False,False,0,0
MLM,Martin Marietta Materials,544.12,16.882408,0.0058,32.23,33255579648.0,1945500032.0,5.105874,3.6269588,True,True,True,False,False,0,0
MA,Mastercard,555.43,40.810432,0.0055,13.61,517369167872.0,16784000000.0,19.002762,68.68183,False,True,True,False,False,0,0
MKC,McCormick & Company,77.23,26.448631,0.024600001,2.92,20692699136.0,1270200064.0,3.0984054,3.8227,False,True,True,False,True,0,0
MDT,Medtronic,90.82,27.7737,0.032,3.27,116457578496.0,9013000192.0,3.5748405,2.3717747,False,True,True,True,True,0,0
MRK,Merck & Co.,98.82,20.67364,0.0327,4.78,249979011072.0,22927998976.0,3.956992,5.6224394,True,True,True,False,True,0,0
META,Meta Platforms,689.18,28.823923,0.003,23.91,1740620562432.0,79208996864.0,11.141612,10.5725155,False,True,True,False,False,0,0
MET,MetLife,86.51,17.547668,0.0251,4.93,59901251584.0,7036000256.0,0.83961165,1.9429533,True,True,True,True,True,1,0
MCHP,Microchip Technology,54.3,37.708332,0.033,1.44,29159641088.0,1950800000.0,5.3050323,4.646188,False,True,True,False,True,0,0
MU,Micron Technology,91.24,26.523254,0.0044,3.44,103061061632.0,8944000000.0,4.10422,2.2420444,False,True,True,True,False,0,0
MSFT,Microsoft,415.06,33.44561,0.0075,12.41,3085547601920.0,136551997440.0,12.138745,11.492731,False,True,True,False,False,0,0
MAA,Mid-America Apartment Communities,152.58,34.44244,0.0399,4.43,18302885888.0,1247618048.0,8.38263,2.997937,False,True,True,True,True,0,0
TAP,Molson Coors Beverage Company,54.75,12.331081,0.0319,4.44,11286548480.0,2418400000.0,0.96613216,0.8471823,True,True,True,True,True,1,1
MDLZ,Mondelez International,57.99,20.563831,0.0322,2.82,77543653376.0,7414000128.0,2.1449933,2.7839656,True,True,True,True,True,1,0
MPWR,Monolithic Power Systems,637.37,72.0192,0.007900001,8.85,31090909184.0,522235008.0,15.244774,13.2204275,False,True,True,False,False,0,0
MCO,Moody's Corporation,499.44,45.69442,0.0068,10.93,90514014208.0,3313999872.0,13.125582,23.179096,False,True,True,False,False,0,0
MOS,Mosaic Company (The),27.89,24.681416,0.0308,1.13,8859118592.0,1908199936.0,0.7732899,0.7507605,True,True,True,True,True,1,0
MSI,Motorola Solutions,469.25,51.45285,0.0092,9.12,78421524480.0,3152000000.0,7.3600683,59.0623,False,True,True,False,False,0,0
NDAQ,"Nasdaq, Inc.",82.34,42.66321,0.0117999995,1.93,47325573120.0,2512000000.0,6.7444167,4.274294,False,True,True,False,False,0,0
NTAP,NetApp,122.1,22.527676,0.0164,5.42,24823662592.0,1582000000.0,3.8926866,21.948587,True,True,True,False,False,0,0
NWSA,News Corp (Class A),28.12,45.35484,0.0070999996,0.62,16623195136.0,1270000000.0,1.6356583,1.9395779,False,True,True,True,False,0,0
NWS,News Corp (Class B),31.65,51.048386,0.0063,0.62,16625808384.0,1270000000.0,1.6359154,2.1830597,False,True,True,True,False,0,0
NEE,NextEra Energy,71.56,21.23442,0.0298,3.37,147155976192.0,14577999872.0,5.6067963,2.9401371,True,True,True,True,True,1,0
